,Squad,Gls,xG,Player,DateParse,P_color,S_color,Min,xA,Ast
4508,Arsenal,1,0.5,Alexandre Lacazette,2017-09-09,#ef0107 , #023474,75.0,0.1,0
4509,Arsenal,0,0.1,Olivier Giroud,2017-09-09,#ef0107 , #023474,15.0,0.0,0
4510,Arsenal,2,0.5,Danny Welbeck,2017-09-09,#ef0107 , #023474,75.0,0.1,1
4511,Arsenal,0,0.1,Alexis Sánchez,2017-09-09,#ef0107 , #023474,15.0,0.1,0
4512,Arsenal,0,0.2,Mesut Özil,2017-09-09,#ef0107 , #023474,90.0,0.1,0
4513,Arsenal,0,0.1,Sead Kolašinac,2017-09-09,#ef0107 , #023474,90.0,0.2,1
4514,Arsenal,0,0.0,Héctor Bellerín,2017-09-09,#ef0107 , #023474,90.0,0.1,0
4515,Arsenal,0,0.1,Granit Xhaka,2017-09-09,#ef0107 , #023474,90.0,0.0,0
4516,Arsenal,0,0.0,Aaron Ramsey,2017-09-09,#ef0107 , #023474,67.0,0.3,1
4517,Arsenal,0,0.0,Francis Coquelin,2017-09-09,#ef0107 , #023474,14.0,0.0,0
4518,Arsenal,0,0.0,Nacho Monreal,2017-09-09,#ef0107 , #023474,90.0,0.0,0
4519,Arsenal,0,0.0,Shkodran Mustafi,2017-09-09,#ef0107 , #023474,90.0,0.0,0
4520,Arsenal,0,0.1,Laurent Koscielny,2017-09-09,#ef0107 , #023474,90.0,0.0,0
4521,Arsenal,0,0.0,Petr Čech,2017-09-09,#ef0107 , #023474,90.0,0.0,0
4550,Arsenal,0,0.5,Alexandre Lacazette,2017-10-01,#ef0107 , #023474,71.0,0.2,0
4551,Arsenal,0,0.1,Olivier Giroud,2017-10-01,#ef0107 , #023474,19.0,0.0,0
4552,Arsenal,0,0.5,Alexis Sánchez,2017-10-01,#ef0107 , #023474,90.0,0.7,1
4553,Arsenal,1,0.4,Alex Iwobi,2017-10-01,#ef0107 , #023474,71.0,0.1,0
4554,Arsenal,0,0.0,Theo Walcott,2017-10-01,#ef0107 , #023474,19.0,0.0,0
4555,Arsenal,0,0.0,Sead Kolašinac,2017-10-01,#ef0107 , #023474,90.0,0.4,0
4556,Arsenal,0,0.1,Granit Xhaka,2017-10-01,#ef0107 , #023474,83.0,0.0,0
4557,Arsenal,0,0.0,Mohamed Elneny,2017-10-01,#ef0107 , #023474,7.0,0.0,0
4558,Arsenal,0,0.3,Aaron Ramsey,2017-10-01,#ef0107 , #023474,90.0,0.0,0
4559,Arsenal,0,0.0,Héctor Bellerín,2017-10-01,#ef0107 , #023474,90.0,0.0,0
4560,Arsenal,1,0.1,Nacho Monreal,2017-10-01,#ef0107 , #023474,90.0,0.0,0
4561,Arsenal,0,0.2,Shkodran Mustafi,2017-10-01,#ef0107 , #023474,90.0,0.0,0
4562,Arsenal,0,0.0,Rob Holding,2017-10-01,#ef0107 , #023474,90.0,0.0,0
4563,Arsenal,0,0.0,Petr Čech,2017-10-01,#ef0107 , #023474,90.0,0.0,0
4592,Arsenal,1,0.2,Alexandre Lacazette,2018-05-06,#ef0107 , #023474,72.0,0.1,1
4593,Arsenal,0,0.0,Danny Welbeck,2018-05-06,#ef0107 , #023474,18.0,0.0,0
4594,Arsenal,2,1.3,Pierre-Emerick Aubameyang,2018-05-06,#ef0107 , #023474,90.0,0.2,1
4595,Arsenal,0,0.1,Henrikh Mkhitaryan,2018-05-06,#ef0107 , #023474,90.0,0.2,0
4596,Arsenal,0,0.1,Jack Wilshere,2018-05-06,#ef0107 , #023474,72.0,0.1,1
4597,Arsenal,0,0.2,Aaron Ramsey,2018-05-06,#ef0107 , #023474,18.0,0.0,0
4598,Arsenal,0,0.0,Granit Xhaka,2018-05-06,#ef0107 , #023474,90.0,0.0,0
4599,Arsenal,1,0.2,Alex Iwobi,2018-05-06,#ef0107 , #023474,90.0,0.1,0
4600,Arsenal,1,0.1,Sead Kolašinac,2018-05-06,#ef0107 , #023474,90.0,0.0,0
4601,Arsenal,0,0.0,Konstantinos Mavropanos,2018-05-06,#ef0107 , #023474,90.0,0.0,0
4602,Arsenal,0,0.0,Calum Chambers,2018-05-06,#ef0107 , #023474,77.0,0.0,0
4603,Arsenal,0,0.0,Per Mertesacker,2018-05-06,#ef0107 , #023474,13.0,0.0,0
4604,Arsenal,0,0.0,Héctor Bellerín,2018-05-06,#ef0107 , #023474,90.0,0.6,2
4605,Arsenal,0,0.0,Petr Čech,2018-05-06,#ef0107 , #023474,90.0,0.0,0
4648,Arsenal,0,0.6,Alexandre Lacazette,2018-01-03,#ef0107 , #023474,80.0,0.0,0
4649,Arsenal,0,0.0,Danny Welbeck,2018-01-03,#ef0107 , #023474,10.0,0.0,0
4650,Arsenal,0,0.9,Alexis Sánchez,2018-01-03,#ef0107 , #023474,90.0,0.4,0
4651,Arsenal,0,0.0,Mesut Özil,2018-01-03,#ef0107 , #023474,90.0,0.3,0
4652,Arsenal,0,0.0,Granit Xhaka,2018-01-03,#ef0107 , #023474,90.0,0.0,0
4653,Arsenal,1,0.2,Jack Wilshere,2018-01-03,#ef0107 , #023474,90.0,0.0,0
4654,Arsenal,0,0.0,Ainsley Maitland-Niles,2018-01-03,#ef0107 , #023474,90.0,0.2,0
4655,Arsenal,1,0.2,Héctor Bellerín,2018-01-03,#ef0107 , #023474,90.0,0.3,0
4656,Arsenal,0,0.0,Rob Holding,2018-01-03,#ef0107 , #023474,90.0,0.0,0
4657,Arsenal,0,0.1,Shkodran Mustafi,2018-01-03,#ef0107 , #023474,90.0,0.0,0
4658,Arsenal,0,0.0,Calum Chambers,2018-01-03,#ef0107 , #023474,88.0,0.0,0
4659,Arsenal,0,0.0,Theo Walcott,2018-01-03,#ef0107 , #023474,2.0,0.0,0
4660,Arsenal,0,0.0,Petr Čech,2018-01-03,#ef0107 , #023474,90.0,0.0,0
4689,Arsenal,1,0.9,Alexandre Lacazette,2018-01-20,#ef0107 , #023474,90.0,0.1,0
4690,Arsenal,1,0.5,Alex Iwobi,2018-01-20,#ef0107 , #023474,82.0,0.0,0
4691,Arsenal,0,0.0,Sead Kolašinac,2018-01-20,#ef0107 , #023474,8.0,0.0,0
4692,Arsenal,0,0.1,Granit Xhaka,2018-01-20,#ef0107 , #023474,90.0,0.3,1
4693,Arsenal,0,0.0,Jack Wilshere,2018-01-20,#ef0107 , #023474,90.0,0.5,0
4694,Arsenal,0,0.0,Mesut Özil,2018-01-20,#ef0107 , #023474,72.0,0.5,1
