,PointsTotal,DateParse,Squad,HA,P_color,rank,matchup,score_H,score_A,Points
22,0,2017-08-11,Leicester City,A,#0053a0 ,20.0,Arsenal vs. Leicester City,4,3,0
25,3,2017-08-11,Arsenal,H,#ef0107 ,1.0,Arsenal vs. Leicester City,4,3,3
27,0,2017-08-12,Bournemouth,A,#8b0304 ,17.0,West Bromwich Albion vs. Bournemouth,1,0,0
30,1,2017-08-12,Watford,H,#fbee23 ,8.0,Watford vs. Liverpool,3,3,1
31,0,2017-08-12,Stoke City,A,#e03a3e,18.0,Everton vs. Stoke City,1,0,0
36,3,2017-08-12,West Bromwich Albion,H,#122f67,5.0,West Bromwich Albion vs. Bournemouth,1,0,3
37,1,2017-08-12,Southampton,H,#ed1a3b ,9.0,Southampton vs. Swansea City,0,0,1
38,1,2017-08-12,Swansea City,A,#ffffff ,10.0,Southampton vs. Swansea City,0,0,1
39,3,2017-08-12,Manchester City,A,#6caddf ,2.0,Brighton vs. Manchester City,0,2,3
40,0,2017-08-12,Crystal Palace,H,#27409b ,20.0,Crystal Palace vs. Huddersfield Town,0,3,0
41,0,2017-08-12,Brighton,H,#005daa ,19.0,Brighton vs. Manchester City,0,2,0
44,3,2017-08-12,Huddersfield Town,A,#176fc0,1.0,Crystal Palace vs. Huddersfield Town,0,3,3
45,0,2017-08-12,Chelsea,H,#034694 ,16.0,Chelsea vs. Burnley,2,3,0
47,3,2017-08-12,Burnley,A,#800000 ,4.0,Chelsea vs. Burnley,2,3,3
48,1,2017-08-12,Liverpool,A,#dd0000 ,7.0,Watford vs. Liverpool,3,3,1
49,3,2017-08-12,Everton,H,#0d00e9 ,6.0,Everton vs. Stoke City,1,0,3
51,0,2017-08-13,West Ham,A,#7f0000 ,20.0,Manchester Utd vs. West Ham,4,0,0
53,0,2017-08-13,Newcastle Utd,H,#fafafa ,18.0,Newcastle Utd vs. Tottenham,0,2,0
54,3,2017-08-13,Tottenham,A,#fafafa ,4.0,Newcastle Utd vs. Tottenham,0,2,3
55,3,2017-08-13,Manchester Utd,H,#b40509 ,1.0,Manchester Utd vs. West Ham,4,0,3
71,0,2017-08-19,Bournemouth,H,#8b0304 ,17.0,Bournemouth vs. Watford,0,2,0
75,3,2017-08-19,Burnley,H,#800000 ,12.0,Burnley vs. West Bromwich Albion,0,1,0
85,0,2017-08-19,Brighton,A,#005daa ,18.0,Leicester City vs. Brighton,2,0,0
88,6,2017-08-19,West Bromwich Albion,A,#122f67,2.0,Burnley vs. West Bromwich Albion,0,1,3
91,4,2017-08-19,Liverpool,H,#dd0000 ,4.0,Liverpool vs. Crystal Palace,1,0,3
93,0,2017-08-19,Crystal Palace,A,#27409b ,19.0,Liverpool vs. Crystal Palace,1,0,0
96,3,2017-08-19,Arsenal,A,#ef0107 ,11.0,Stoke City vs. Arsenal,1,0,0
97,4,2017-08-19,Southampton,H,#ed1a3b ,5.0,Southampton vs. West Ham,3,2,3
99,3,2017-08-19,Stoke City,H,#e03a3e,13.0,Stoke City vs. Arsenal,1,0,3
101,1,2017-08-19,Swansea City,H,#ffffff ,14.0,Swansea City vs. Manchester Utd,0,4,0
104,3,2017-08-19,Leicester City,H,#0053a0 ,9.0,Leicester City vs. Brighton,2,0,3
106,0,2017-08-19,West Ham,A,#7f0000 ,20.0,Southampton vs. West Ham,3,2,0
108,6,2017-08-19,Manchester Utd,A,#b40509 ,1.0,Swansea City vs. Manchester Utd,0,4,3
112,4,2017-08-19,Watford,A,#fbee23 ,3.0,Bournemouth vs. Watford,0,2,3
135,3,2017-08-20,Tottenham,H,#fafafa ,9.0,Tottenham vs. Chelsea,1,2,0
141,6,2017-08-20,Huddersfield Town,H,#176fc0,2.0,Huddersfield Town vs. Newcastle Utd,1,0,3
144,0,2017-08-20,Newcastle Utd,A,#fafafa ,17.0,Huddersfield Town vs. Newcastle Utd,1,0,0
151,3,2017-08-20,Chelsea,A,#034694 ,11.0,Tottenham vs. Chelsea,1,2,3
152,4,2017-08-21,Everton,A,#0d00e9 ,8.0,Manchester City vs. Everton,1,1,1
153,4,2017-08-21,Manchester City,H,#6caddf ,5.0,Manchester City vs. Everton,1,1,1
169,3,2017-08-26,Leicester City,A,#0053a0 ,16.0,Manchester Utd vs. Leicester City,2,0,0
170,9,2017-08-26,Manchester Utd,H,#b40509 ,1.0,Manchester Utd vs. Leicester City,2,0,3
172,3,2017-08-26,Newcastle Utd,H,#fafafa ,13.0,Newcastle Utd vs. West Ham,3,0,3
173,0,2017-08-26,Crystal Palace,H,#27409b ,19.0,Crystal Palace vs. Swansea City,0,2,0
174,7,2017-08-26,Manchester City,A,#6caddf ,3.0,Bournemouth vs. Manchester City,1,2,3
176,7,2017-08-26,Huddersfield Town,H,#176fc0,2.0,Huddersfield Town vs. Southampton,0,0,1
178,5,2017-08-26,Southampton,A,#ed1a3b ,6.0,Huddersfield Town vs. Southampton,0,0,1
183,1,2017-08-26,Brighton,A,#005daa ,17.0,Watford vs. Brighton,0,0,1
188,0,2017-08-26,Bournemouth,H,#8b0304 ,18.0,Bournemouth vs. Manchester City,1,2,0
197,0,2017-08-26,West Ham,A,#7f0000 ,20.0,Newcastle Utd vs. West Ham,3,0,0
199,5,2017-08-26,Watford,H,#fbee23 ,5.0,Watford vs. Brighton,0,0,1
202,4,2017-08-26,Swansea City,A,#ffffff ,9.0,Crystal Palace vs. Swansea City,0,2,3
219,4,2017-08-27,Tottenham,H,#fafafa ,9.0,Tottenham vs. Burnley,1,1,1
231,3,2017-08-27,Arsenal,A,#ef0107 ,16.0,Liverpool vs. Arsenal,4,0,0
233,4,2017-08-27,Stoke City,A,#e03a3e,11.0,West Bromwich Albion vs. Stoke City,1,1,1
239,4,2017-08-27,Everton,A,#0d00e9 ,12.0,Chelsea vs. Everton,2,0,0
241,6,2017-08-27,Chelsea,H,#034694 ,6.0,Chelsea vs. Everton,2,0,3
246,7,2017-08-27,Liverpool,H,#dd0000 ,2.0,Liverpool vs. Arsenal,4,0,3
251,4,2017-08-27,Burnley,A,#800000 ,10.0,Tottenham vs. Burnley,1,1,1
255,7,2017-08-27,West Bromwich Albion,H,#122f67,5.0,West Bromwich Albion vs. Stoke City,1,1,1
266,6,2017-09-09,Arsenal,H,#ef0107 ,9.0,Arsenal vs. Bournemouth,3,0,3
270,10,2017-09-09,Manchester City,H,#6caddf ,2.0,Manchester City vs. Liverpool,5,0,3
272,5,2017-09-09,Southampton,H,#ed1a3b ,11.0,Southampton vs. Watford,0,2,0
273,4,2017-09-09,Brighton,H,#005daa ,13.0,Brighton vs. West Bromwich Albion,3,1,3
277,9,2017-09-09,Chelsea,A,#034694 ,3.0,Leicester City vs. Chelsea,1,2,3
283,7,2017-09-09,Tottenham,A,#fafafa ,5.0,Everton vs. Tottenham,0,3,3
284,7,2017-09-09,Liverpool,A,#dd0000 ,7.0,Manchester City vs. Liverpool,5,0,0
289,4,2017-09-09,Everton,H,#0d00e9 ,15.0,Everton vs. Tottenham,0,3,0
290,5,2017-09-09,Stoke City,H,#e03a3e,10.0,Stoke City vs. Manchester Utd,2,2,1
292,3,2017-09-09,Leicester City,H,#0053a0 ,17.0,Leicester City vs. Chelsea,1,2,0
296,10,2017-09-09,Manchester Utd,A,#b40509 ,1.0,Stoke City vs. Manchester Utd,2,2,1
300,8,2017-09-09,Watford,A,#fbee23 ,4.0,Southampton vs. Watford,0,2,3
301,7,2017-09-09,West Bromwich Albion,A,#122f67,8.0,Brighton vs. West Bromwich Albion,3,1,0
302,0,2017-09-09,Bournemouth,A,#8b0304 ,19.0,Arsenal vs. Bournemouth,3,0,0
321,7,2017-09-10,Burnley,H,#800000 ,7.0,Burnley vs. Crystal Palace,1,0,3
322,6,2017-09-10,Newcastle Utd,A,#fafafa ,10.0,Swansea City vs. Newcastle Utd,0,1,3
335,4,2017-09-10,Swansea City,H,#ffffff ,15.0,Swansea City vs. Newcastle Utd,0,1,0
346,0,2017-09-10,Crystal Palace,A,#27409b ,19.0,Burnley vs. Crystal Palace,1,0,0
